id,tag,text
232,"[232, 'p14', 'verse', 'v41', 'note', 'x']",#ch.11:16
233,"[233, 'p14', 'verse', 'v41', 'content']","Goshen, as far as Gibeon."
234,"['v041_ESV_JOS_010', 234, 'p14', 'verse', 'v41', 'plain_text']","41 And Joshua struck them from Kadesh-barnea as far as Gaza, and all the country of Goshen, as far as Gibeon."
235,"[235, 'p14', 'verse', 'v42', 'label']",42
236,"[236, 'p14', 'verse', 'v42', 'content']","And Joshua captured all these kings and their land at one time,"
237,"[237, 'p14', 'verse', 'v42', 'note', 'x']",#ver.14
238,"[238, 'p14', 'verse', 'v42', 'content']",because the
239,"[239, 'p14', 'verse', 'v42', 'nd']",Lord
240,"[240, 'p14', 'verse', 'v42', 'content']",God of Israel fought for Israel.
241,"['v042_ESV_JOS_010', 241, 'p14', 'verse', 'v42', 'plain_text']","42 And Joshua captured all these kings and their land at one time, because the Lord God of Israel fought for Israel."
242,"[242, 'p14', 'verse', 'v43', 'label']",43
243,"[243, 'p14', 'verse', 'v43', 'note', 'x']",#ver.15
244,"[244, 'p14', 'verse', 'v43', 'content']","Then Joshua returned, and all Israel with him, to the camp at Gilgal."
245,"['v043_ESV_JOS_010', 245, 'p14', 'verse', 'v43', 'plain_text']","43 Then Joshua returned, and all Israel with him, to the camp at Gilgal."
