id,tag,text
146,"[146, 'p6', 'verse', 'v27', 'note', 'x']",#Seever.50-52
147,"[147, 'p6', 'verse', 'v27', 'content']","him calculate the years since he sold it and pay back the balance to the man to whom he sold it, and then return to his property."
148,"['v027_ESV_LEV_025', 148, 'p6', 'verse', 'v27', 'plain_text']","27 let him calculate the years since he sold it and pay back the balance to the man to whom he sold it, and then return to his property."
149,"[149, 'p6', 'verse', 'v28', 'label']",28
150,"[150, 'p6', 'verse', 'v28', 'content']","But if he does not have sufficient means to recover it, then what he sold shall remain in the hand of the buyer until the year of jubilee. In the jubilee it shall"
151,"[151, 'p6', 'verse', 'v28', 'note', 'x']",#ch.27:21
152,"[152, 'p6', 'verse', 'v28', 'content']","be released, and"
153,"[153, 'p6', 'verse', 'v28', 'note', 'x']","#ver.13, 41"
154,"[154, 'p6', 'verse', 'v28', 'content']",he shall return to his property.
155,"['v028_ESV_LEV_025', 155, 'p6', 'verse', 'v28', 'plain_text']","28 But if he does not have sufficient means to recover it, then what he sold shall remain in the hand of the buyer until the year of jubilee. In the jubilee it shall be released, and he shall return to his property."
156,"[156, 'p7', 'verse', 'v29', 'label']",29
157,"[157, 'p7', 'verse', 'v29', 'content']","“If a man sells a dwelling house in a walled city, he may redeem it within a year of its sale. For a full year he shall have the right of redemption."
158,"['v029_ESV_LEV_025', 158, 'p7', 'verse', 'v29', 'plain_text']","29 “If a man sells a dwelling house in a walled city, he may redeem it within a year of its sale. For a full year he shall have the right of redemption."
159,"[159, 'p7', 'verse', 'v30', 'label']",30
160,"[160, 'p7', 'verse', 'v30', 'content']","If it is not redeemed within a full year, then the house in the walled city shall belong in perpetuity to the buyer, throughout his generations;"
161,"[161, 'p7', 'verse', 'v30', 'note', 'x']",#[See ver.28above]
162,"[162, 'p7', 'verse', 'v30', 'content']",it shall not be released in the jubilee.
163,"['v030_ESV_LEV_025', 163, 'p7', 'verse', 'v30', 'plain_text']","30 If it is not redeemed within a full year, then the house in the walled city shall belong in perpetuity to the buyer, throughout his generations; it shall not be released in the jubilee."
164,"[164, 'p7', 'verse', 'v31', 'label']",31
165,"[165, 'p7', 'verse', 'v31', 'content']","But the houses of the villages that have no wall around them shall be classified with the fields of the land. They may be redeemed, and"
166,"[166, 'p7', 'verse', 'v31', 'note', 'x']",#[See ver.28above]
167,"[167, 'p7', 'verse', 'v31', 'content']",they shall be released in the jubilee.
168,"['v031_ESV_LEV_025', 168, 'p7', 'verse', 'v31', 'plain_text']","31 But the houses of the villages that have no wall around them shall be classified with the fields of the land. They may be redeemed, and they shall be released in the jubilee."
169,"[169, 'p7', 'verse', 'v32', 'label']",32
170,"[170, 'p7', 'verse', 'v32', 'content']",As for
171,"[171, 'p7', 'verse', 'v32', 'note', 'x']",#[Num. 35:2]; See Josh. 21:2-40
172,"[172, 'p7', 'verse', 'v32', 'content']","the cities of the Levites, the Levites may redeem at any time the houses in the cities they possess."
173,"['v032_ESV_LEV_025', 173, 'p7', 'verse', 'v32', 'plain_text']","32 As for the cities of the Levites, the Levites may redeem at any time the houses in the cities they possess."
174,"[174, 'p7', 'verse', 'v33', 'label']",33
175,"[175, 'p7', 'verse', 'v33', 'content']","And if one of the Levites exercises his right of redemption, then the house that was sold in a city they possess shall be released in the jubilee. For the houses in the cities of the Levites are their possession among the people of Israel."
176,"['v033_ESV_LEV_025', 176, 'p7', 'verse', 'v33', 'plain_text']","33 And if one of the Levites exercises his right of redemption, then the house that was sold in a city they possess shall be released in the jubilee. For the houses in the cities of the Levites are their possession among the people of Israel."
177,"[177, 'p7', 'verse', 'v34', 'label']",34
178,"[178, 'p7', 'verse', 'v34', 'content']",But the fields
179,"[179, 'p7', 'verse', 'v34', 'note', 'x']","#Num. 35:2;1 Chr. 13:2;[Acts 4:36,37]; See Josh. 21:11-42; 1 Chr. 6:55-81"
180,"[180, 'p7', 'verse', 'v34', 'content']","of pastureland belonging to their cities may not be sold, for that is their possession forever."
181,"[181, 's1', 'heading']",Kindness for Poor Brothers
182,"['v034_ESV_LEV_025', 182, 'p7', 'verse', 'v34', 'plain_text']","34 But the fields of pastureland belonging to their cities may not be sold, for that is their possession forever."
183,"[183, 'p8', 'verse', 'v35', 'label']",35
184,"[184, 'p8', 'verse', 'v35', 'content']","“If your brother becomes poor and cannot maintain himself with you,"
185,"[185, 'p8', 'verse', 'v35', 'note', 'x']","#Deut. 15:7,8;[Ps. 41:1;112:5,9;Prov. 14:31;Acts 11:29;1 John 3:17]"
186,"[186, 'p8', 'verse', 'v35', 'content']","you shall support him as though he were a stranger and a sojourner, and he shall live with you."
